"speech_text","label","Nummer","speaker_name","speaker_party","Delegitimeren","Opmerking","Gericht op?","date","vergadernummer","id","title","jaar","populisme","kabinet_parlement"
"Ik vroeg net aan de heer Zijlstra of hij bereid was om twee dingen te doen, omdat zijn uitspraken anders heel vrijblijvend waren. Wat heeft het voor zin om te zeggen ""pleur op"" of ""rot op"" als degenen tegen wie dat wordt gezegd, dat toch niet doen? De eerste vraag die ik stelde, was: bent u bereid om ervoor te zorgen dat er geen nieuwe Turken naar Nederland komen, zodat Nederland Nederland blijft? Ik heb daar geen antwoord op gekregen.
Mijn tweede vraag was: bent u op zijn minst bereid om mensen met een dubbele nationaliteit die een misdrijf plegen, de Nederlandse nationaliteit af te nemen? De heer Zijlstra zei toen: dat doen wij al. Dat is een leugen, want wij doen dat alleen op grond van de Wet terroristische misdrijven, als het gaat om terroristen. Bij normale misdrijven, die al erg genoeg zijn, zoals het gebruik van geweld, diefstal of bedreiging doen wij dat niet. Ik denk aan de man over wie premier Rutte ""pleur op"" riep en die de journalist bedreigde. Bedreiging is een misdrijf. Dat is geen terroristisch misdrijf, maar een misdrijf. Die man zou ik graag zijn Nederlandse paspoort af willen pakken en uit willen zetten. Ik snap niet dat de heer Zijlstra dat niet wil doen. Ik vraag de heer Zijlstra als fractievoorzitter van de VVD opnieuw of hij bereid is om mensen die normale misdrijven plegen, die op auto's dansen, die journalisten bedreigen, hun Nederlandse paspoort af te pakken en uit te zetten naar Turkije. Anders is het echt heel vrijblijvend.","1",67,"De heer Wilders","PVV","2",NA,NA,2016-09-21,"nr. 2, item 6",181574,"6 Algemene Politieke Beschouwingen","2016-2017","Populistisch","parlement"
"Voorzitter. Veel dank aan alle collega's, ambtenaren en medewerkers voor het mogelijk maken van dit debat. Zij zijn de zuurstof van onze democratie. Het was een debat met heel veel inhoud. Er was echter ook een ongelofelijk treurig dieptepunt, namelijk de verdachtmakingen tegen de minister van Financiën. Ik heb als Kamerlid de afgelopen jaren ministers als Hugo de Jonge, Christianne van der Wal, Sigrid Kaag en anderen het werk voor ons allemaal zien doen. Dat deden zij onder een onwaarschijnlijke druk en een dreiging die voortkomt uit precies dit soort insinuaties. Het is heel goed dat er nu een streep getrokken is. Laten we die streep in het zand altijd met elkaar blijven trekken. De democratie is namelijk geen spelletje, maar de waarborg voor onze traditie van vrijheid en solidariteit.
Dank u wel.","2",68,"De heer Paternotte","D66","2",NA,NA,2022-09-22,"nr. 3, item 7",715651,"7 Algemene Politieke Beschouwingen","2022-2023","Niet-populistisch","parlement"
"Dat is precies het punt: je moet de norm handhaven. Maar dat kun je alleen doen als je ook weet wie dat soort idiote ideeën heeft. Gebeurt dat in een bepaalde context, dan kun je optreden. Als je op voorhand iedere opvatting strafbaar maakt, is de kans veel te groot dat het voortaan alleen nog onder water gebeurt. De heer Buma heeft zelf gister De Tocqueville aangehaald. Kijk naar de Amerikaanse grondwet, die gaat nog verder. Waarom is dat? Omdat je liever de idioot aan de dorpspomp hebt met zijn idiote opvattingen, die je vervolgens inhoudelijk en in alle opzichten kunt bestrijden, via het internet of hoe dan ook, dan dat hij onder water gaat door dit type wetgeving dat de heer Buma voorstelt, en daarmee de samenleving onveiliger wordt.
Een andere vraag ging over stichtingen die de democratie in gevaar brengen. Daar is al het een en ander door het kabinet aan de Kamer over gemeld in eerdere debatten. Gelukkig is het zo dat artikel 2.20 van het Burgerlijk Wetboek de mogelijkheid geeft om antidemocratische organisaties te ontbinden en te verbieden. Dat hoort ook bij een weerbare democratie. Er zijn vervolgens in allerlei Kamerdebatten moties ingediend. Bijvoorbeeld de motie van Heerma, Dijkgraaf en Azmani om voorstellen te doen om groeperingen wier doelstellingen onvermijdelijk leiden tot het terzijde schuiven van onze democratische rechtsorde, te kunnen verbieden. Wij hebben op basis daarvan uitgezocht hoe het zit en gezegd: het huidige Burgerlijk Wetboek maakt dat al mogelijk. Er hoeft op dit moment geen extra wetsartikel te worden toegevoegd.
Vervolgens hebben een aantal andere Kamerleden, Heerma, Dijkgraaf en Potters, nog de vraag gesteld om nader onderzoek te verrichten naar de wijze waarop in verschillende landen invulling wordt gegeven aan het criterium dat er naderend gevaar moet bestaan. Dat is namelijk een van de aan artikel 2:20 BW onderliggende criteria. Het kabinet komt binnenkort met een brief daarover. Er is onderzoek verricht door professor De Lange van de Erasmus Universiteit Rotterdam. Binnenkort zullen wij daarover aan de Kamer berichten.
Dan werd gevraagd hoe wij de buitenlandse financiering van salafistische en andere organisaties kunnen aanpakken. Dit is een ingewikkelde kwestie. Ik geef hier ook een heel genuanceerd antwoord op, omdat het aan de ene kant vanzelfsprekend ontoelaatbaar is als op een of andere manier terrorismefinanciering plaatsvindt en als dat gefaciliteerd zou worden. Dat kan absoluut niet. Aan de andere kant moeten wij, als het gaat om niet-terroristische organisaties, erop letten dat wij niet treden in de vrijheid van godsdienst. Dat is een probleem omdat wij ook weten dat financiering soms gebruikt wordt om invloed te verkrijgen, waarbij de gedragingen niet passen binnen de Nederlandse democratische rechtsstaat. Dat is onwenselijk, maar daarbij luistert heel nauw wanneer je als overheid wel of niet kunt ingrijpen.
Dit luistert heel precies, omdat het aan de ene kant vanzelfsprekend is dat terrorismefinanciering ontoelaatbaar is en omdat wij aan de andere kant, het andere uiterste, de vrijheid van godsdienst hebben. Als je op voorhand iedere vorm van buitenlandse financiering zou verbieden, lijkt dat in te druisen tegen de vrijheid van godsdienst. Daarom zijn wij bezig ons daarover te beraden, ook tegen de achtergrond van de motie-Pieter Heerma/Karabulut (29614, nr. 45) over buitenlandse financiering. Wij gaan de Kamer daar dit najaar nader over berichten. Hetzelfde geldt overigens voor een heel specifieke zaak die nog loopt, namelijk de aankoop van een voormalig schoolgebouw in Rotterdam door een salafistische organisatie. Dit is heel precies en heel exact. Ik denk ook niet dat hier grote verschillen van opvatting over zijn, maar wij willen dat heel precies op papier zetten, zodat wij dat debat heel precies en genuanceerd met elkaar kunnen voeren.
De heer Van der Staaij had een vraag over Joodse personen, instellingen en synagogen. Laat mij hier nog eens benadrukken dat voor dit kabinet de vrijheid van godsdienst een groot goed is en dat bedreigingen en intimidatie nooit zullen worden getolereerd. De minister van V en J, de NCTV, overigens samen met de lokale gezagsdriehoeken, hebben regelmatig contact met vertegenwoordigers van kerkgenootschappen en religieuze gemeenschappen, waaronder de islamitische en zeker ook de joodse gemeenschappen. Wij zijn daarbij alert. Wij hebben gezamenlijk aandacht voor de veiligheid van kerkgenootschappen en religieuze gemeenschappen. Wij nemen waar nodig beveiligingsmaatregelen wanneer de dreiging en het risico of concrete gebeurtenissen daartoe aanleiding geven.
Op de vragen over Zaandam heb ik al antwoord gegeven.
Over de bevoegdheden van de AIVD was een vraag gesteld. Over de bevoegdheden van de AIVD en de MIVD en de modernisering ervan is in de media en de politiek altijd veel te doen. Daarmee wordt soms de indruk gewekt dat de diensten ons niet zouden beschermen maar bedreigen. Het kabinet is ervan overtuigd dat de bescherming van de samenleving vraagt om inlichtingen- en veiligheidsdiensten die beschikken over voldoende wettelijke armslag, waaronder inderdaad de bevoegdheid om encryptie te doorbreken alsook om toegang tot de kabel te verkrijgen. Het nieuwe wetsvoorstel voor de inlichtingen- en veiligheidsdiensten is aan de Raad van State gezonden. Die is inmiddels bevallen van een advies. Wij streven ernaar om dat wetsvoorstel zo snel mogelijk met een reactie op het advies, een zogenaamd nader rapport, naar de Kamer te sturen.
Dan was er nog een vraag over de subsidie voor de Geschillencommissie voor Consumentenzaken. Nee, dat was geen vergissing. Voor subsidies aan externe organisaties is de komende jaren minder geld beschikbaar. Dat leidt nou eenmaal noodzakelijk tot keuzes. Dat komt ongetwijfeld verder aan de orde, als ik dat zo kort mag zeggen, bij de behandeling van de begroting van V en J. Ik wijs er wel op dat de Geschillencommissie voor Consumentenzaken een private organisatie is die snelle geschillenafdoening biedt aan consumenten die een klacht hebben over ondernemingen die tot aangesloten branches behoren.
Ik kijk het even heel snel na, maar ik denk dat ik daarmee de verschillende vragen over veiligheid en rechtsstaat heb beantwoord.","2",69,"Minister Rutte",NA,"2",NA,NA,2016-09-22,"nr. 3, item 7",200122,"7 Algemene Politieke Beschouwingen","2016-2017",NA,"kabinet"
"... dat gemeentes advocaten inschakelen. Er wordt heel veel geld aan verdiend, ook door dure advocatenkantoren, om die rechtszaken aan te vechten. Gemeenten worden nu ook aangemoedigd om dat te doen, zodat er jurisprudentie ontstaat. Maar dat is toch eigenlijk precies de verkeerde route? Wij bepalen toch wat we wenselijk vinden? Dan gaat het er ook om hoe je de uitspraak van die raad nou moet duiden. Wij hebben een aantal experts geraadpleegd, die zeggen: dit is rechtsvormend geweest. Het is dus niet zo dat de rechter precies het recht heeft gevolgd, maar dat dit rechtsvormend is geweest. Er is dus niet een regel vanuit Europa of vanuit Nederland die dit helemaal zo verplicht. Als dat zo is, dan hebben wij hier in de Tweede Kamer gewoon de mogelijkheid om daar een wet op te maken. Dus nogmaals mijn vraag: zouden we daar niet wetgeving voor moeten maken in plaats van dat we gemeentes dwingen om dit dan toch maar via rechtszaken voor mekaar te krijgen?","2",70,"De heer Bontenbal","CDA","2",NA,NA,2023-09-21,"nr. 3, item 3",791362,"3 Algemene Politieke Beschouwingen","2023-2024","Niet-populistisch","parlement"
"Voorzitter. De beelden van de afgelopen zomer vertellen het verhaal: brokstukken en persoonlijke bezittingen verspreid over het land, ver weg, in het oosten van Oekraïne. 298 mensen, onder wie 196 Nederlanders, jong en oud, op weg naar werk of vakantie, op weg naar een toekomst die ze niet werd gegeven. Het neerschieten van de MH17 heeft Nederland in rouw gedompeld. De eerste opdracht was het terugbrengen van de slachtoffers, zo zei de premier. Het kabinet is waardig met die opdracht omgegaan. Het beeld van de onafzienbare stoet rouwauto's staat in ons collectieve geheugen gegrift. Ik wil hier mijn waardering uitspreken voor de manier waarop de minister-president heeft opgetreden. In hem wil ik al degenen danken die daar in die tijd bij betrokken zijn geweest.
In schril contrast met dit optreden staat de cynische reactie van Rusland. De oorlog ging gewoon door en de rampplek is nog steeds een oorlogsgebied. De zomer van 2014 leek soms eerder de zomer van 1914. 100 jaar na de Eerste Wereldoorlog is een leven voor sommige leiders nog steeds niet meer dan kanonnenvoer.
De beelden van afgelopen zomer vertellen ook het verhaal van de yezidi's. De meesten van ons hadden nog nooit van hen gehoord. We zagen ze in doodsangst op een berg in de woestijn, zonder eten en zonder water, op de vlucht voor de wrede moslimradicalen van IS. Velen zijn gelukkig net op tijd door de Amerikanen gered van een gewisse dood. Ondertussen gaat de terreur nog steeds door. Ook christenen worden daar massaal vervolgd. Dit weekend nog waren we getuige van weer een onthoofding van een Britse staatsburger door IS.
De beelden van afgelopen zomer vertellen ook het verhaal van de Schilderswijk in Den Haag: jongeren die met vlaggen zwaaien en juichen voor IS. We mogen allemaal weten wat ze willen: kalifaat, jihad, gewapende strijd. Velen hadden echter wel het gezicht bedekt. Ze willen immers niet dat we weten wie ze zijn. Vrijheid van meningsuiting, zei de burgemeester van Den Haag. Hij liet het gebeuren. Het CDA zegt: dit is de eerste trede op de trap naar geweld; net zo gevaarlijk als haat zaaien. Daarom wil het CDA dat het verheerlijken van terroristisch geweld strafbaar is. Duitsland heeft afgelopen vrijdag het toejuichen van IS bij demonstraties en op twitter verboden. Als dat in Duitsland kan, waarom kan dat dan in Nederland niet, zo vraag ik de minister-president. Wat kunnen we bij de aanpak van terreur en radicalisme nog meer verwachten na de brief die het kabinet eerder stuurde? De belangrijkste voorstellen daarin al waren gesneuveld voordat ze naar de Kamer kwamen.
De beelden van de zomer vertellen het verhaal. Maar welk verhaal? Wat gebeurt hier? Wij zien hier een rechtstreekse bedreiging van onze manier van leven. Waar de economische crisis de afgelopen jaren ons gevoel van zekerheid heeft aangetast, heeft de crisis van afgelopen zomer ons basale gevoel van veiligheid ondermijnd. Onze Westerse samenleving staat onder druk, van buitenaf door IS en zijn aanhangers in Europa, door Rusland, door de chaos in Noord-Afrika, maar ook van binnenuit doordat onze eigen Westerse samenleving kwetsbaar is geworden. We weten niet meer waar we als samenleving voor staan. Het gevaar is niet een plotseling van buitenaf komende vijand, het is net zo goed een afbrokkelingsproces van onze eigen Westerse waarden van binnenuit. De moderne Westerse wereld heeft de onbegrensde individuele vrijheid steeds meer als allerhoogste doel gesteld, maar die vrijheid heeft geen context meer. Alles mag, alles lijkt te kunnen. Dat is verkeerd. De overheid die het CDA voorstaat, is geen neutrale scheidsrechter die alles maar toelaat totdat het geweld begint. Nee, het CDA wil een overheid die de kernwaarden van onze samenleving ononderhandelbaar verklaart en dus behoedt en verdedigt.
Wat is dan het wezen van deze Westerse samenleving dat we te verdedigen hebben? Onze Westerse samenleving is gebouwd op een traditie van eeuwen, een joods-christelijke, humanistische traditie. Een traditie die ons leert om te geven om je naaste, om respect te hebben voor elkaar en onze vrijheid en verantwoordelijkheid te beleven. Samenleven is niet alleen nemen maar ook geven. Rechten én plichten. Verbondenheid voor versplintering. Deze zomer moet ons leren dat we iets te verdedigen hebben, namelijk de waarden die bij Nederland horen.
25 jaar is vredesdividend geïncasseerd. Alle West-Europese landen deden er aan mee en alle Nederlandse partijen deden eraan mee, ook het CDA. Maar deze zomer moet onze ogen openen. Onze veiligheid heeft een hogere prijs dan we er nu voor betalen. Ook zeg ik daarbij, een hogere prijs dan de coalitie nu lijkt te beseffen. Er komt met steun van de gedoogpartners geen geld bij, er gaat hoogstens minder geld af. Per saldo resten aan het eind van 2015 nog steeds bezuinigingen op Defensie, de veiligheidsdiensten en het justitieapparaat.","2",71,"De heer Van Haersma Buma","CDA","2",NA,NA,2014-09-17,"nr. 2, item 8",56357,"8 Algemene politieke beschouwingen","2014-2015","Niet-populistisch","parlement"
"Wat hier tot nu toe is gebeurd, wordt niet weggepoetst door deze rechters. Natuurlijk ga ik tot het uiterste. Ik ga vanavond ook weer in de auto's van de DKDB naar huis. Ik zou liever naar mijn eigen huis gaan. Ik ga weer naar het safehouse, want ik heb geen keuze. Ik doe dat. Ik moet dat. Ik moet door. Hetzelfde geldt voor deze uitspraak. Het is een verschrikkelijke uitspraak, maar natuurlijk gebruik ik alle middelen die ik heb om ervoor te zorgen dat het ongedaan wordt gemaakt. Maar wat de uitspraak ook zal zijn, dan nog wordt niet weggepoetst wat hier is gebeurd. In het eerste proces probeerde een rechter een getuige te beïnvloeden. Een CDA-rechter. In het tweede proces hebben vervolgens de hele VVD en al die ambtenaren en ministers geprobeerd om het Openbaar Ministerie te beïnvloeden, zoals u weet. Natuurlijk poets ik dat niet weg, wat de uitkomst ook wordt. Ik zeg u: ga er maar aan staan. Bij elkaar is dat tien jaar processen voor iemand die niets gedaan heeft wat niet deugt.","1",72,"De heer Wilders","PVV","1","Een CDA-rechter.","Rechtspraak",2020-09-16,"nr. 2, item 2",494694,"2 Algemene Politieke Beschouwingen","2020-2021","Populistisch","parlement"
"Volgens mij heb ik net aangegeven dat wij geen extra belasting willen op vermogen. Daarbinnen kan er echter naar gekeken worden. Het is niet voor niets dat er een onderzoek komt. In die zin zijn er voor mij geen taboes. Dat vind ik het mooie aan deze brief: PvdA en VVD tonen wederom dat zij in staat zijn om deuren die in het verleden op slot zaten, open te zetten. Dat betekent echter niet dat je meteen overal concrete maatregelen aan vastplakt, want dan weet ik precies hoe het gaat: dan gaat het alleen om die dingen. Willen wij hieruit komen, dan moeten wij voor een totale herziening zorgen, waarbij wat mij betreft de toeslagen verdwijnen. Ook wordt wat mij betreft bezien hoe wij de lasten op arbeid kunnen verlagen. Ik nodig elke partij uit om aan te geven wat haar wensen zijn. Dat geldt ook voor de heer Pechtold van D66. In de media las ik dat de heer Pechtold meer ambitie wil. Dan hoor ik graag waar die ambitie ligt, welke maatregen dan genomen moeten worden en welke bedragen daarbij horen.","2",73,"De heer Zijlstra","VVD","2",NA,NA,2014-09-17,"nr. 2, item 5",14537,"5 Algemene politieke beschouwingen","2014-2015","Niet-populistisch","parlement"
"Het is fijn dat de minister-president met dat in gedachten de troonrede heeft geschreven, maar ik vraag of hij niet veel te positief is geweest. Als je beweert dat iedereen erop vooruitgaat en dit niet gestaafd wordt door de cijfers, moet je nu toch concluderen dat het niet klopt? Dan kun je er nu toch op terugkomen en zeggen dat je je genuanceerder had moeten uitdrukken? Je kunt toch zeggen dat mediaan gezien iedereen erop vooruitgaat, maar dat dit niet geldt voor ieder individu? Dat is één extra zin. Dat was toch veel duidelijker geweest voor mensen in Nederland? Nu lijkt het net alsof het kabinet heeft beloofd dat iedereen erop vooruitgaat, terwijl dat helemaal niet aan de orde is. Wees daar eerlijk over, minister-president.","2",74,"De heer Klaver","GroenLinks","2",NA,NA,2015-09-17,"nr. 3, item 6",118010,"6 Algemene Politieke Beschouwingen","2015-2016","Niet-populistisch","parlement"
"Ik zeg er dan één ding bij, namelijk dat ""medische oorzaken"" wel heel breed is. We bedoelen dan denk ik de voorbeelden zoals vandaag in het debat zeer indringend besproken. Daar hoeft de motie niet voor te worden aangepast. Het blijft oordeel Kamer met die aanpassing.
Voorzitter. Staat u mij nog een enkel woord toe. Allereerst, zoals vandaag al vaker is gezegd, dank aan alle fantastische mensen die ons ondersteunen. Dat geldt voor de Kamer, maar mag ik dat na zoveel jaar ook één keer zeggen over de ambtenaren? Er wordt achter de schermen niet alleen door Algemene Zaken, maar door de ambtenaren van alle departementen in warrooms gewerkt om ervoor te zorgen dat ik hier word behoed voor de allerergste fouten. Enorme waardering, echt.","2",75,"Minister Rutte",NA,"2",NA,NA,2022-09-22,"nr. 3, item 7",715825,"7 Algemene Politieke Beschouwingen","2022-2023",NA,"kabinet"
"Nee, dat ga ik niet doen. Ik heb geschetst hoe het proces loopt en dat de staatssecretaris zodra ze daar klaar mee is, de Kamer erover zal informeren. Dus dat is niet voor de tweede termijn. Ik hecht er echt aan dat we dit soort dingen op een fatsoenlijke manier doen. Wilders en ik zullen het meteen met elkaar eens zijn dat als Nederland openstaat — dat staan we gelukkig — voor echte vluchtelingen, dit betekent dat mensen die hier niks te zoeken hebben, weg moeten en dat mensen die hier wel iets te zoeken hebben, er op kunnen rekenen dat we ze fatsoenlijk zullen opvangen, maar dan moeten de aantallen wel beheersbaar zijn. We hebben in 2015 en 2016 gezien wat er gebeurt als die aantallen niet beheersbaar zijn. Dat is het algemene asielbeleid.
Dan heel specifiek over deze groep Syriërs, en überhaupt over hoe om te gaan met de vraag of landen veilig of niet veilig zijn: hoed je voor de democratie waar het parlement gaat besluiten of het in een ander land veilig is. Doe dat altijd op basis van objectieve feiten. Zodra er meer over te melden is, zal de staatssecretaris dat doen. Ik kom in tweede termijn terug op het voorbeeld van Gilze.","2",76,"Minister Rutte",NA,"2",NA,NA,2019-09-19,"nr. 3, item 6",453846,"6 Algemene Politieke Beschouwingen","2019-2020",NA,"kabinet"
"Die waarden die de premier noemt — vrijheid, gelijkheid en kansen — gelden niet in de islam. De islam is niet alleen de meest gewelddadige, maar ook meest discriminerende ideologie of, zo u wilt, godsdienst die er bestaat. Want de islam zegt tegen iedereen die niet islamitisch is of daar niet bij wil horen of de islam wil verlaten: jij bent minderwaardig, jij hebt niet dezelfde rechten. Daarom heb ik in mijn eerste termijn eergisteren gezegd: noem mij een islamitisch land waar democratie bestaat, waar vrijheid bestaat, waar een meerderheid van een parlement met één stem verschil een premier naar huis kan sturen, waar journalisten vrij kunnen schrijven wat ze willen, waar homo's vrij over straat kunnen, waar een kerk kan worden gebouwd en een religie kan worden beleden zonder dat er angst voor vervolging of dood moet zijn. Dat bestaat in geen enkel islamitisch land. Dus je kunt niet zeggen dat je daar niet naar kijkt. Er komen miljoenen, honderden miljoenen mensen naar Europa toe, later in deze eeuw. Het maakt nogal wat uit waar ze vandaan komen. Ze komen niet uit Zweden, ze komen uit islamitisch Afrika. Al die vrijheden die u zegt te verdedigen, die raken we kwijt als u uw politiek-correcte bril niet afzet en ziet waar de islam voor staat, namelijk onvrijheid.","1",77,"De heer Wilders","PVV","2",NA,NA,2018-09-21,"nr. 3, item 6",370376,"6 Algemene Politieke Beschouwingen","2018-2019","Populistisch","parlement"
"Volgens mij was ik niet oneerlijk in mijn antwoord. Sterker nog, ik wees de heer Segers erop dat we nu, in een tijd van overschotten, de ruimte hebben om dit te veranderen. Volgens mij was hij in het verleden ook een voorstander van die verandering en heeft hij zelfs nu de ruimte om door die motie te steunen die verandering ook te bereiken.
Ik zal heel eerlijk zijn over wat er in het verleden niet gelukt is in de onderhandelingen met de VVD. Ik heb daar een aardig lijstje voorbeelden van. Ik kan u misschien een keer bij een borrel bijpraten, maar we zitten nu in het parlement en we gaan stemmen over die motie en ik ga deze steunen, want ik weet dat er ruimte is om die Wajongers te helpen. Ik hoop, mijnheer Segers, dat u niet alleen mij vraagt om eerlijkheid, maar dat u misschien die motie ook wel steunt.
Voorzitter. Ik wilde mijn waardering uitspreken voor de serieuze behandeling die de motie over de wijkverpleging heeft gekregen, dankzij het feit dat de Kamer verlof heeft gegeven die motie gisteren in te dienen. Ik heb de minister-president goed gehoord, toen hij zei een aantal ankers voorop te willen stellen. Ik heb ook overlegd met de mede-indieners van die motie en dat leidt tot een wijziging, niet in het dictum, maar in de overwegingen. De motie wordt dan nu als volgt. Ik zal deze even voorlezen, voor het beeld.","2",78,"De heer Asscher","PvdA","2",NA,NA,2017-11-02,"nr. 17, item 5",236867,"5 Regeringsverklaring (inclusief Algemene Politieke Beschouwingen)","2017-2018","Niet-populistisch","parlement"
"Ten aanzien van OM, rechtspraak en politie ben ik het eens met de heer Roemer dat de discussie daarover hier gevoerd moet worden. Ten aanzien van de wetsvoorstellen die in de Eerste Kamer liggen, vind ik dat de discussie daarover in de Eerste Kamer gevoerd moet worden. Die wetsvoorstellen hebben de Tweede Kamer gepasseerd.
De heer Roemer is bezorgd — ik heb ook anderen daarover gehoord — over de budgetten voor de politie. Ik stel vast dat de vorige week in het debat over de Nationale Politie is toegezegd dat over de financiering van het binnen de begroting van de Nationale Politie vrij te maken budget voor de extra reorganisatiekosten een brief wordt verstuurd, dat de Rekenkamer ernaar kijkt en dat er een onderzoek wordt gedaan naar de meerjarige benodigde omvang van het budget in relatie tot de beoogde ambities. Als we dan de feiten op tafel hebben, kunnen we bezien of het waar is dat er al dan niet geld bij moet. Wij staan op dit moment voor deze begroting, maar zoals ik al eerder zei: als het op basis van objectieve feiten nodig is dat er geld bij moet, dan moeten we daarnaar kunnen kijken. Maar we willen dus eerst die feiten op tafel hebben.
Ten aanzien van het OM heb ik net geschetst wat daar op dit moment speelt en ten aanzien van de rechtspraak heb ik erop gewezen dat het nu van belang is om bij de huisvesting en de verschuiving van zaakpakketten binnen de arrondissementen nu de volgende stappen te zetten. Dus op al die zaken lopen er acties en zorgen wij dat wij de feiten precies in kaart brengen. Een begroting is altijd in beweging en is nooit statisch, zoals ik al vaker heb gezegd, maar wij menen op dit moment dat er een begroting ligt waar wij achter kunnen staan. Op al deze punten waarover zorg bestaan, worden op dit moment de feiten precies in kaart gebracht.","2",79,"Minister Rutte",NA,"2",NA,NA,2015-09-17,"nr. 3, item 6",118253,"6 Algemene Politieke Beschouwingen","2015-2016",NA,"kabinet"
"Nee hoor, dat was ik. Tot zover het rondje RTL Boulevard. Maar ik ben echt oprecht verbaasd — zo ken ik de heer Heerma niet — over de analyse die ik in de krant heb gelezen. Misschien kan hij het uitleggen. Waarom heeft hij de indruk — ik neem aan dat dat erachter zit — dat boeren op geen enkele manier hebben meebeslist over alle maatregelen van de afgelopen twintig jaar? Is het probleem dat boeren niet zijn gehoord voordat er beleid werd gemaakt? Wat is het probleem waarvan hij nu zegt: zet boeren en natuurorganisaties maar bij elkaar; dan hebben we wél een oplossing voor het stikstofprobleem? Welke analyse zit daaronder?","2",80,"Mevrouw Ouwehand","PvdD","2",NA,NA,2020-09-16,"nr. 2, item 2",495168,"2 Algemene Politieke Beschouwingen","2020-2021","Niet-populistisch","parlement"
